142378325086715906	N
142379080808013825	P
142379173120442368	P
142379815708803072	N
142381190123499520	NONE
142382515380961280	N
142382561501511680	P
142382722910912512	N
142384554206961664	N
142386873539637248	N
142387377162301440	P
142387445416210433	P
142389851369635840	P
142390954547097602	N
142391025904795648	P
142391095542816768	N
142393574045126656	P
142394602438131712	P
142396075842600960	P
142396855916044288	N
142415001527918592	P
142421530687717376	P
142460545457602560	P
142475773452886016	P
142477209632903168	P
142482752330153984	P
142483422185656320	N
142485850201128960	NONE
142485918836736000	P
142486052484038656	N
142486381397164033	P
142486630631084033	NONE
142486712227082241	P
142486919400538112	NONE
142487239157485568	P
142488286315819008	P
142491078208139264	P
142494256848830464	NONE
142494607496843264	NONE
142495262479364096	P
142497671016484865	P
142497699302866944	NONE
142499127832494080	P
142500633537298433	NONE
142500724192968704	NONE
142500804937515008	NONE
142500883211620352	NONE
142500968737673216	NONE
142501075709198337	NONE
142501170240438272	NONE
142501301614424065	NONE
142501524881420288	P
142501730578472960	P
142501898589704192	P
142501984174473216	NONE
142502047378440192	NONE
142502258423246848	NONE
142502677249662976	P
142502775421538304	NONE
142502823844790272	NONE
142502896292990977	N
142502942770077696	P
142502960973348865	NONE
142503620242452481	NONE
142503916653903872	NONE
142504196879548416	NONE
142504439373246464	NONE
142504638002892800	NONE
142504727190581248	NONE
142504841095299073	NONE
142504855322374144	NONE
142505110604484608	NONE
142505265017798657	P
142505493573808128	P
142505734536568832	P
142506146316554240	P
142506397710553089	P
142506551473750016	P
142507214131830784	P
142507239087947776	P
142507590868418560	NONE
142507766253236224	P
142507935833133057	P
142508088849727488	P
142508270874140672	P
142508791794118656	P
142509388878462976	N
142509578851074049	P
142512302938275840	N
142512893211049984	N
142513195230310400	N
142513224431058945	P
142513405486571521	N
142513579676020736	NONE
142513624051752961	NONE
142513735586684928	N
142514081943916544	N
142514084330475520	NONE
142514091922178048	N
142514188173062144	N
142514278040215554	N
142514283186622464	P
142514327180685312	N
142515270861332480	N
142515302075338752	N
142515878196543488	N
142516197815107585	NONE
142516420109025280	P
142516833252163584	NONE
142517897066057728	N
142518445433552896	N
142518816134533120	P
142519853058768896	N
142520717710336000	N
142521046216609793	N
142521138352885762	N
142521503320244224	N
142521829431590912	P
142522230528679936	P
142522394911838208	N
142522576965607424	P
142522835406028802	P
142522854553026560	P
142523453969408001	NONE
142523509204193282	P
142523541026381824	NONE
142523848988954624	P
142524057986940928	P
142524118896607233	P
142524300841328640	N
142524467858509824	P
142524640164712449	N
142524992247173120	P
142525120194416640	NONE
142526193558749184	N
142526733772521473	NONE
142529332873658369	P
142529729663221760	P
142530142164623360	N
142530991100141568	NONE
142531147623186432	P
142531271871037440	P
142531458869903360	P
142531700096901120	P
142531789536239617	P
142531844582281218	P
142532057690677249	P
142532289358860288	N
142532743211917312	P
142533188248539136	N
142533317449883649	N
142533337058263040	NONE
142533683696508928	P
142533692714262528	P
142534618069995521	P
142535083159597056	P
142535476123942913	N
142535566905446400	N
142536430848188417	NONE
142536601149517824	NONE
142537512634695681	P
142537641777303552	NONE
142537837026361344	P
142537895532695552	N
142538062407282688	NONE
142538534165815296	NONE
142538557066711040	P
142539010642944000	N
142539491977076736	P
142541084181016576	P
142541935536640000	N
142541991593517056	N
142542152801583104	P
142542714729271296	P
142542812645306368	P
142543132167380992	NONE
142543401928228864	P
142543435746910208	P
142543744883900416	P
142543817751531520	P
142543884692631553	P
142544262574256128	N
142544413887967232	N
142544820173410305	P
142544958442835968	P
142545026617057280	NONE
142546217749065728	N
142547179544911872	P
142547238944641024	NONE
142547486077239297	P
142547774674710528	N
142548408203362304	N
142549390022811649	N
142549989678268418	P
142550334659760128	N
142550692790419456	P
142551264205615104	N
142551629131030528	N
142553758390423552	P
142554089404891136	P
142554253607706624	P
142554649365454848	P
142555200413122560	P
142555465069510656	P
142556794420600832	N
142556846199283712	P
142556866583601152	N
142557703812812800	N
142558203429912576	N
142559003686354945	N
142559090676203520	P
142559890332856321	N
142560261017051136	P
142560436200550400	P
142561212981448704	N
142561930119352320	N
142562378301702145	NONE
142563178079981568	N
